id,year,cob_bf,p_ab_lp,ubs_p_100_h
1100452,2016,72.28,76.7,"0,10"
1100452,2017,71.24,74.7,"0,13"
1100452,2018,,,"0,13"
1100452,2019,,,"0,13"
1100452,2020,,,"0,10"
1100502,2010,,,
1100502,2011,,,
1100502,2012,,,
1100502,2013,,,
1100502,2014,,,
1100502,2015,71.22,77.9,"0,20"
1100502,2016,62.93,69.3,"0,20"
1100502,2017,61.72,67.31,"0,20"
1100502,2018,,,"0,23"
1100502,2019,,,"0,23"
1100502,2020,,,"0,24"
1100601,2010,,,
1100601,2011,,,
1100601,2012,,,
1100601,2013,,,
1100601,2014,,,
1100601,2015,61.15,59.97,"0,16"
1100601,2016,53.15,48.56,"0,16"
1100601,2017,50.55,49.25,"0,16"
1100601,2018,,,"0,16"
1100601,2019,,,"0,16"
1100601,2020,,,"0,16"
1100700,2010,,,
1100700,2011,,,
1100700,2012,,,
1100700,2013,,,
1100700,2014,,,
1100700,2015,78.5,77.31,"0,28"
1100700,2016,69.32,67.05,"0,28"
1100700,2017,59.35,55.94,"0,28"
1100700,2018,,,"0,29"
1100700,2019,,,"0,28"
1100700,2020,,,"0,28"
1100809,2010,,,
1100809,2011,,,
1100809,2012,,,
1100809,2013,,,
1100809,2014,,,
1100809,2015,65.97,85.65,"0,21"
1100809,2016,75.17,80.6,"0,20"
1100809,2017,70.58,60.99,"0,20"
1100809,2018,,,"0,19"
1100809,2019,,,"0,00"
1100809,2020,,,"0,04"
1100908,2010,,,
1100908,2011,,,
1100908,2012,,,
1100908,2013,,,
1100908,2014,,,
1100908,2015,61.57,71.55,"0,55"
1100908,2016,55.56,65.77,"0,56"
1100908,2017,52.31,62.12,"0,56"
1100908,2018,,,"0,64"
1100908,2019,,,"0,66"
1100908,2020,,,"0,67"
1100924,2010,,,
1100924,2011,,,
1100924,2012,,,
1100924,2013,,,
1100924,2014,,,
1100924,2015,75.15,79.64,"0,20"
1100924,2016,67.09,71.05,"0,39"
1100924,2017,65.12,65.7,"0,38"
1100924,2018,,,"0,37"
1100924,2019,,,"0,36"
1100924,2020,,,"0,35"
1100940,2010,,,
1100940,2011,,,
1100940,2012,,,
1100940,2013,,,
1100940,2014,,,
1100940,2015,62,75.8,"0,14"
1100940,2016,66.64,66.01,"0,05"
1100940,2017,64.75,60.3,"0,05"
1100940,2018,,,"0,04"
1100940,2019,,,"0,04"
1100940,2020,,,"0,04"
1101005,2010,,,
1101005,2011,,,
1101005,2012,,,
1101005,2013,,,
1101005,2014,,,
1101005,2015,77.3,80.87,"0,30"
1101005,2016,74.48,77.49,"0,40"
1101005,2017,70.93,70.86,"0,41"
1101005,2018,,,"0,49"
1101005,2019,,,"0,52"
1101005,2020,,,"0,54"
1101104,2010,,,
1101104,2011,,,
1101104,2012,,,
1101104,2013,,,
